item_id,country,sentence,annotator_1_label,annotator_2_label,annotator_4_label,n_annotators,n_valid_labels,majority_label,majority_count,agreement_share,full_agreement,model_label_reference,reference_label,majority_matches_reference
S01,Canada,"Its generative Al tool, AgPal Chat, helps users find relevant funding and resources faster, supporting the sustainable growth and competitiveness of the sector.",Neutral,Innovation-oriented,Innovation-oriented,3,3,Innovation-oriented,2,0.6666666666666666,False,AI-friendly,Innovation-oriented,True
S02,China,China’s R&D expenditure is approaching that of the whole EU.” China’s Strengths Creates Innovation Miracles Good policy is like sunshine.,Innovation-oriented,Mixed,Innovation-oriented,3,3,Innovation-oriented,2,0.6666666666666666,False,AI-friendly,Innovation-oriented,True
S03,France,"for the adoption of AI by businesses), contractual relationships with private partners (e.g.",Unsure,Unsure,Unsure,3,3,Unsure,3,1.0,True,AI-friendly,Innovation-oriented,False
S04,Germany,"The Federal Government will therefore further expand its funding of applied research, development and testing of complex autonomous driving scenarios.",Innovation-oriented,Neutral,Innovation-oriented,3,3,Innovation-oriented,2,0.6666666666666666,False,AI-friendly,Innovation-oriented,True
S05,Italy,"In this sense, at least two sets of problems arise, upon which the space and competitiveness of Artificial Intelligence systems developed in Italy will depend.",Neutral,Unsure,Unsure,3,3,Unsure,2,0.6666666666666666,False,AI-friendly,Innovation-oriented,False
S06,Japan,"In the field of Al, where basic research and social implementation are closely connected, the lack of progress in implementation has become a major bottleneck for Al development in Japan.",Neutral,Innovation-oriented,Innovation-oriented,3,3,Innovation-oriented,2,0.6666666666666666,False,AI-friendly,Innovation-oriented,True
S07,United Kingdom,oxinote 3) Setting a short-term target to train tens of thousands of Al professionals by 2030 will help bridge the estimated gap between supply and demand.,Neutral,Innovation-oriented,Innovation-oriented,3,3,Innovation-oriented,2,0.6666666666666666,False,AI-friendly,Innovation-oriented,True
S08,United States,"And they are essential for academic research, which often relies on access to the weights and training data of a model to perform scientifically rigorous experiments.",Neutral,Unsure,Neutral,3,3,Neutral,2,0.6666666666666666,False,AI-friendly,Innovation-oriented,False
S09,Canada,Canadian Sovereign AI Compute Strategy Invests in public and commercial computing infrastructure to support the Canadian AI ecosystem and safeguard Canadian data and intellectual property.,Innovation-oriented,Innovation-oriented,Mixed,3,3,Innovation-oriented,2,0.6666666666666666,False,AI-friendly,Innovation-oriented,True
S10,China,"Innovation is “fl owing water”, making China’s seed of advanced ideas into towering trees.",Innovation-oriented,Innovation-oriented,Innovation-oriented,3,3,Innovation-oriented,3,1.0,True,AI-friendly,Innovation-oriented,True
S11,Canada,Respondents suggested regular ethical audits to ensure compliance with the guidelines and prevent harmful biases.,Risk-oriented,Risk-oriented,Risk-oriented,3,3,Risk-oriented,3,1.0,True,AI-cautious,Risk-oriented,True
S12,China,Improve the level of security capability.,Unsure,Risk-oriented,Unsure,3,3,Unsure,2,0.6666666666666666,False,AI-cautious,Risk-oriented,False
S13,France,Tailor-made treatment should be reserved for public procurement involving the processing of sensitive data.,Mixed,Risk-oriented,Risk-oriented,3,3,Risk-oriented,2,0.6666666666666666,False,AI-cautious,Risk-oriented,True
S14,Germany,It is also working to ensure that all stakeholders in the field of AI honour their individual responsibility to respect human rights.,Mixed,Risk-oriented,Risk-oriented,3,3,Risk-oriented,2,0.6666666666666666,False,AI-cautious,Risk-oriented,True
S15,Italy,"In particular, the Committee will take care to highlight the risks inherent to specific initiatives, guiding project choices towards approaches that ensure the safety and reliability of the solutions.",Risk-oriented,Risk-oriented,Risk-oriented,3,3,Risk-oriented,3,1.0,True,AI-cautious,Risk-oriented,True
S17,United Kingdom,"Strategically shape what data is collected, rather than just making data available that already exists.",Innovation-oriented,Neutral,Innovation-oriented,3,3,Innovation-oriented,2,0.6666666666666666,False,AI-cautious,Risk-oriented,False
S18,United States,Align Protection Measures Globally America must impose strong export controls on sensitive technologies.,Risk-oriented,Unsure,Risk-oriented,3,3,Risk-oriented,2,0.6666666666666666,False,AI-cautious,Risk-oriented,True
S19,Canada,"Some law or policy is silent on areas needed to govern AI, while others may introduce unintended bias in data collection or obstruct AI adoption unnecessarily and unintentionally.",Mixed,Mixed,Mixed,3,3,Mixed,3,1.0,True,AI-cautious,Risk-oriented,False
S20,China,"Improving AI laws, regulations, ethical guidelines, etc., and promoting legislation related to the development of AI health.",Risk-oriented,Mixed,Risk-oriented,3,3,Risk-oriented,2,0.6666666666666666,False,AI-cautious,Risk-oriented,True
S21,Canada,"While the adoption of Al for its innovative applications is becoming the emerging norm worldwide, we must ensure its responsible use by assessing and mitigating the risks.",Risk-oriented,Risk-oriented,Mixed,3,3,Risk-oriented,2,0.6666666666666666,False,mixed,Mixed,False
S22,China,(V) Developing AI + Developing Governance 1.,Innovation-oriented,Mixed,Mixed,3,3,Mixed,2,0.6666666666666666,False,mixed,Mixed,True
S24,Germany,They include principles for responsible stewardship of trustworthy AI and policy and cooperation recommendations.,,Risk-oriented,Risk-oriented,3,2,Risk-oriented,2,0.6666666666666666,False,mixed,Mixed,False
S25,Italy,"The development of AI technologies has had, and will increasingly have in the near future, rapid rates that will open up opportunities and changes that need to be well-managed.",Innovation-oriented,Mixed,Mixed,3,3,Mixed,2,0.6666666666666666,False,mixed,Mixed,True
S26,Japan,(Toward Becoming “the most Al-friendly country in the world”) Japan has pursued Al strategy through promoting innovation while mitigating risks.,Innovation-oriented,Mixed,Mixed,3,3,Mixed,2,0.6666666666666666,False,mixed,Mixed,True
S27,United Kingdom,"Prioritisation should consider the potential economic and social value of the data, as well as public trust, national security, privacy, ethics, and data protection considerations.",Risk-oriented,Mixed,Mixed,3,3,Mixed,2,0.6666666666666666,False,mixed,Mixed,True
S28,United States,"AI systems are becoming essential tools, profoundly shaping how Americans consume information, but these tools must also be trustworthy.",Risk-oriented,Mixed,Risk-oriented,3,3,Risk-oriented,2,0.6666666666666666,False,mixed,Mixed,False
S29,Canada,We encourage all federal organizations to embrace AI responsibly to meet the expectations of all Canadians for secure and modern government operations in the digital age.,Innovation-oriented,Mixed,Mixed,3,3,Mixed,2,0.6666666666666666,False,mixed,Mixed,True
S31,Canada,It will also continue to engage all departments on action implementation to ensure horizontal alignment.,Neutral,Unsure,Unsure,3,3,Unsure,2,0.6666666666666666,False,neutral,Neutral,False
S33,France, The public reports of the Court of Auditors are available online on the website of the Court and the regional and territorial chambers of accounts: www.ccomptes.fr.,Neutral,Neutral,Neutral,3,3,Neutral,3,1.0,True,neutral,Neutral,True
S34,Germany,The data strategy will address the issues of data availability and -infrastructures.,Neutral,Neutral,Innovation-oriented,3,3,Neutral,2,0.6666666666666666,False,neutral,Neutral,True
S35,Italy,"It is an opportune moment to reflect on oneself, to embrace change, and to shape the future with an awareness of our own distinctive identities and potentials.",Innovation-oriented,Neutral,Innovation-oriented,3,3,Innovation-oriented,2,0.6666666666666666,False,neutral,Neutral,False
S36,Japan,"130 of 1995)) and the Priority Plan for the Formation of a Digital Society (under Article 39, paragraph (1) of the Basic Act on the Formation of a Digital Society (Act No.",Neutral,Unsure,Unsure,3,3,Unsure,2,0.6666666666666666,False,neutral,Neutral,False
S37,United Kingdom,"My judgement is that experts, on balance, expect rapid progress to continue.",,Innovation-oriented,Innovation-oriented,3,2,Innovation-oriented,2,0.6666666666666666,False,neutral,Neutral,False
S38,United States,"These agencies could then provide analysis of AI adoption, job creation, displacement, and wage effects.",Neutral,Neutral,Neutral,3,3,Neutral,3,1.0,True,neutral,Neutral,True
S39,Canada,"Although Canada is a global leader in AI research, demand for AI skills significantly outpaces supply.",Mixed,Innovation-oriented,Innovation-oriented,3,3,Innovation-oriented,2,0.6666666666666666,False,neutral,Neutral,False
S40,China,"Improve the dynamic perception of space and sea integration and the level of domestic space intelligence planning, strengthen the resource elements and optimize the allocation.",Unsure,Unsure,Neutral,3,3,Unsure,2,0.6666666666666666,False,neutral,Neutral,False
