chapter,figure,file_name,relative_path,rows,columns,column_names
1. Research and Development,fig_1.1.1,fig_1.1.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.1.1.csv,7,2,"Number of notable machine learning models in 2025, Geographic area"
1. Research and Development,fig_1.1.10,fig_1.1.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.1.10.csv,623,3,"Publication date, Number of parameters, Label"
1. Research and Development,fig_1.1.11,fig_1.1.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.1.11.csv,563,2,"Publication date, training_dataset_size_(total)"
1. Research and Development,fig_1.1.12,fig_1.1.12.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.1.12.csv,222,2,"Publication date, Training length (days)"
1. Research and Development,fig_1.1.13,fig_1.1.13.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.1.13.csv,471,3,"Publication date, Training compute (petaFLOP), Label"
1. Research and Development,fig_1.1.14,fig_1.1.14.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.1.14.csv,120,3,"Publication date, Training compute (petaFLOP – log scale), Label"
1. Research and Development,fig_1.1.16,fig_1.1.16.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.1.16.csv,5,2,"Model, Score"
1. Research and Development,fig_1.1.17,fig_1.1.17.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.1.17.csv,130,3,"Month, % of generated content, Label"
1. Research and Development,fig_1.1.2,fig_1.1.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.1.2.csv,54,3,"Year, Number of notable AI models, Label"
1. Research and Development,fig_1.1.3,fig_1.1.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.1.3.csv,30,2,"Geographic area, Number of notable machine learning models"
1. Research and Development,fig_1.1.4,fig_1.1.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.1.4.csv,92,3,"Year, Number of notable AI models, Label"
1. Research and Development,fig_1.1.5,fig_1.1.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.1.5.csv,92,3,"Year, Notable AI models (% of total), Label"
1. Research and Development,fig_1.1.6,fig_1.1.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.1.6.csv,20,2,"organization, num_models"
1. Research and Development,fig_1.1.7,fig_1.1.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.1.7.csv,20,2,"organization, num_models"
1. Research and Development,fig_1.1.8,fig_1.1.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.1.8.csv,61,3,"model_accessibility, year, num_models"
1. Research and Development,fig_1.1.9,fig_1.1.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.1.9.csv,46,3,"training_code_accessibility, year, num_models"
1. Research and Development,fig_1.2.1,fig_1.2.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.2.1.csv,336,3,"Publication date, Performance (FLOP/s - log scale), Label"
1. Research and Development,fig_1.2.2,fig_1.2.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.2.2.csv,194,3,"Publication date, Cumulative number of notable AI models, Label"
1. Research and Development,fig_1.2.3(1),fig_1.2.3(1).csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.2.3(1).csv,16,6,"quarter, AMD, Amazon, Google, Huawei, Nvidia"
1. Research and Development,fig_1.2.3,fig_1.2.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.2.3.csv,16,6,"quarter, AMD, Amazon, Google, Huawei, Nvidia"
1. Research and Development,fig_1.2.4,fig_1.2.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.2.4.csv,16,4,"quarter, cumulative_chip_power, cumulative_other_power, total_power"
1. Research and Development,fig_1.3.1,fig_1.3.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.3.1.csv,97,3,"Country, num_datacenters, iso_code"
1. Research and Development,fig_1.3.2,fig_1.3.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.3.2.csv,15,2,"Number of Data Centers, Country"
1. Research and Development,fig_1.4.1,fig_1.4.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.4.1.csv,122,3,"Publication date, Energy efficiency (FLOP/s per watt - log scale), Label"
1. Research and Development,fig_1.4.10,fig_1.4.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.4.10.csv,4,4,"Accelerated servers, 2023, 2024, Cumulative"
1. Research and Development,fig_1.4.11,fig_1.4.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.4.11.csv,11,2,"Power demand in megawatts (MW), Description"
1. Research and Development,fig_1.4.12,fig_1.4.12.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.4.12.csv,19,2,"Year, GPU cost index (2006=1)"
1. Research and Development,fig_1.4.2,fig_1.4.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.4.2.csv,34,3,"model, publication_date, training_power_draw_(w)"
1. Research and Development,fig_1.4.3(1),fig_1.4.3(1).csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.4.3(1).csv,13,3,"model, year, C02eq_emissions"
1. Research and Development,fig_1.4.3,fig_1.4.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.4.3.csv,13,3,"model, year, C02eq_emissions"
1. Research and Development,fig_1.4.4,fig_1.4.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.4.4.csv,13,4,"Model, Year, CO2 equivalent emissions (tons), Parameters"
1. Research and Development,fig_1.4.5,fig_1.4.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.4.5.csv,33,3,"model, avg_energy_consumption_wh, year"
1. Research and Development,fig_1.4.6,fig_1.4.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.4.6.csv,33,3,"model, avg_energy_consumption_wh, year"
1. Research and Development,fig_1.4.7,fig_1.4.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.4.7.csv,7,2,"activity, energy_wh"
1. Research and Development,fig_1.4.8,fig_1.4.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.4.8.csv,6,2,"activity, water_consumption_kL"
1. Research and Development,fig_1.4.9,fig_1.4.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.4.9.csv,4,4,"Total EPD, 2023, 2024, Cumulative"
1. Research and Development,fig_1.5.1,fig_1.5.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.5.1.csv,15,2,"Year, Number of AI projects (in millions)"
1. Research and Development,fig_1.5.2,fig_1.5.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.5.2.csv,15,2,"Year, Number of AI projects (in thousands)"
1. Research and Development,fig_1.5.3,fig_1.5.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.5.3.csv,68,3,"Year, AI projects (% of total), Label"
1. Research and Development,fig_1.5.4,fig_1.5.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.5.4.csv,15,2,"Year, Number of GitHub stars (in millions)"
1. Research and Development,fig_1.5.5,fig_1.5.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.5.5.csv,75,3,"Year, Number of cumulative GitHub stars (in millions), Label"
1. Research and Development,fig_1.5.6,fig_1.5.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.5.6.csv,16,3,"qyear, created_models, created_datasets"
1. Research and Development,fig_1.5.7,fig_1.5.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.5.7.csv,54,3,"Year, AI model downloads (% of total), Label"
1. Research and Development,fig_1.5.8,fig_1.5.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.5.8.csv,55,3,"Quarter, Download share, Developer"
1. Research and Development,fig_1.6.1,fig_1.6.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.6.1.csv,24,2,"Year, Number of AI publications in CS (in thousands)"
1. Research and Development,fig_1.6.10,fig_1.6.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.6.10.csv,120,3,"Year, Number of AI publications (in thousands), Label"
1. Research and Development,fig_1.6.2,fig_1.6.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.6.2.csv,72,3,"Year, Number of AI publications in CS (in thousands), Label"
1. Research and Development,fig_1.6.3,fig_1.6.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.6.3.csv,16,2,"Year, Number of attendees (in thousands)"
1. Research and Development,fig_1.6.4,fig_1.6.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.6.4.csv,156,3,"Year, Number of attendees (in thousands), Label"
1. Research and Development,fig_1.6.5,fig_1.6.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.6.5.csv,63,3,"Year, Number of attendees (in thousands), Label"
1. Research and Development,fig_1.6.6,fig_1.6.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.6.6.csv,72,3,"Year, AI publications in CS (% of total), Label"
1. Research and Development,fig_1.6.7,fig_1.6.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.6.7.csv,96,3,"Year, AI publications in CS (% of total), Label"
1. Research and Development,fig_1.6.8,fig_1.6.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.6.8.csv,60,3,"Year, AI publications in CS (% of total), Label"
1. Research and Development,fig_1.6.9,fig_1.6.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.6.9.csv,12,3,"AI Publications (% of Total), Sector, Label"
1. Research and Development,fig_1.7.1,fig_1.7.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.7.1.csv,15,2,"Year, Number of AI patents granted (in thousands)"
1. Research and Development,fig_1.7.2,fig_1.7.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.7.2.csv,75,3,"Year, Granted AI patents (% of world total), Label"
1. Research and Development,fig_1.7.3,fig_1.7.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.7.3.csv,75,3,"Year, Number of AI patents granted (in thousands), Label"
1. Research and Development,fig_1.7.4,fig_1.7.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.7.4.csv,15,2,"Granted AI patents (per 100,000 inhabitants), Country"
1. Research and Development,fig_1.7.7,fig_1.7.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.7.7.csv,31,3,"Country, Proximity_to_United_States, Proximity_to_China"
1. Research and Development,fig_1.8.1,fig_1.8.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.8.1.csv,21,2,"Number of top AI authors and inventors (in thousands), Country"
1. Research and Development,fig_1.8.2,fig_1.8.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.8.2.csv,15,2,"country, talent_per_100k"
1. Research and Development,fig_1.8.3,fig_1.8.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.8.3.csv,1999,5,"year, country, country_code, education_label, pct_share"
1. Research and Development,fig_1.8.4,fig_1.8.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.8.4.csv,336,5,"year, country, country_code, Male, Female"
1. Research and Development,fig_1.8.5,fig_1.8.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.8.5.csv,14,22,"specialisation_area, Australia, Brazil, Canada, Denmark, Finland, France, Germany, India, Israel, Italy, Japan, Netherlands, Saudi Arabia, Singapore, South Korea, Spain, Sweden, Switzerland, United Arab Emirates, United Kingdom, United States"
1. Research and Development,fig_1.8.6,fig_1.8.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/1. Research and Development/Data/fig_1.8.6.csv,3907,4,"country, country_code, year_month, netflow"
2. Technical Performance,fig_2.1.1,fig_2.1.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.1.1.csv,51,5,"Year, Method, Perfomance relative to the human baseline, Benchmark, Task"
2. Technical Performance,fig_2.1.2,fig_2.1.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.1.2.csv,70,3,"Year, Arena score (Elo-like), Label"
2. Technical Performance,fig_2.1.3,fig_2.1.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.1.3.csv,70,3,"Year, Arena score (Elo-like), Label"
2. Technical Performance,fig_2.1.4,fig_2.1.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.1.4.csv,237,3,"Year, Arena score (Elo-like), Label"
2. Technical Performance,fig_2.1.5,fig_2.1.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.1.5.csv,9,2,"Benchmark, Precision@50 (%)"
2. Technical Performance,fig_2.2.1,fig_2.2.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.2.1.csv,15,2,"Model, Overall accuracy (%)"
2. Technical Performance,fig_2.2.2,fig_2.2.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.2.2.csv,15,6,"model, arena_elo_rating, 95_CI_upper, 95_CI_lower, Error Lower, Error Upper"
2. Technical Performance,fig_2.2.3,fig_2.2.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.2.3.csv,15,2,"Model, Overall Accuracy"
2. Technical Performance,fig_2.2.4,fig_2.2.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.2.4.csv,6,2,"Year, Average accuracy"
2. Technical Performance,fig_2.3.1,fig_2.3.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.3.1.csv,15,2,"Model, Average accuracy"
2. Technical Performance,fig_2.3.2,fig_2.3.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.3.2.csv,25,3,"Model, Year, Overall"
2. Technical Performance,fig_2.3.3,fig_2.3.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.3.3.csv,24,2,"∆knowledge, Model"
2. Technical Performance,fig_2.3.5,fig_2.3.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.3.5.csv,15,6,"model, arena_elo_rating, 95_CI_upper, 95_CI_lower, Error Lower, Error Upper"
2. Technical Performance,fig_2.3.6,fig_2.3.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.3.6.csv,28,3,"Model, type, score"
2. Technical Performance,fig_2.3.7,fig_2.3.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.3.7.csv,10,2,"Model, Total Score"
2. Technical Performance,fig_2.4.1,fig_2.4.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.1.csv,14,3,"Model, Year, Accuracy (%)"
2. Technical Performance,fig_2.4.10,fig_2.4.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.10.csv,32,3,"domain, model_planner, solved_tasks"
2. Technical Performance,fig_2.4.2,fig_2.4.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.2.csv,3,3,"year, method, metric"
2. Technical Performance,fig_2.4.3,fig_2.4.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.3.csv,15,2,"AI System, ARC-AGI-2 (%)"
2. Technical Performance,fig_2.4.4,fig_2.4.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.4.csv,2,3,"year, model, accuracy"
2. Technical Performance,fig_2.4.6(1),fig_2.4.6(1).csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.6(1).csv,7,2,"Model, Value"
2. Technical Performance,fig_2.4.6,fig_2.4.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.6.csv,7,2,"Model, Value"
2. Technical Performance,fig_2.4.7,fig_2.4.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.7.csv,7,2,"Model, Value"
2. Technical Performance,fig_2.4.8(1),fig_2.4.8(1).csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.8(1).csv,15,2,"Model, Average accuracy (%)"
2. Technical Performance,fig_2.4.8,fig_2.4.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.8.csv,15,2,"Model, Average accuracy (%)"
2. Technical Performance,fig_2.4.9,fig_2.4.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.9.csv,32,3,"domain, model_planner, solved_tasks"
2. Technical Performance,fig_2.5.1,fig_2.5.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.1.csv,20,3,"Model, Type, Percent resolved"
2. Technical Performance,fig_2.5.10,fig_2.5.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.10.csv,15,2,"Model, Accuracy"
2. Technical Performance,fig_2.5.11,fig_2.5.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.11.csv,15,2,"Model, Accuracy"
2. Technical Performance,fig_2.5.12,fig_2.5.12.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.12.csv,15,2,"Model, Accuracy"
2. Technical Performance,fig_2.5.13,fig_2.5.13.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.13.csv,15,2,"Model, Accuracy"
2. Technical Performance,fig_2.5.2,fig_2.5.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.2.csv,13,2,"month_year, metric_trend"
2. Technical Performance,fig_2.5.3,fig_2.5.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.3.csv,8,2,"Model, Accuracy"
2. Technical Performance,fig_2.5.4,fig_2.5.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.4.csv,2,3,"year, method, metric"
2. Technical Performance,fig_2.5.5,fig_2.5.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.5.csv,2,3,"release_date, model, accuracy"
2. Technical Performance,fig_2.5.7,fig_2.5.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.7.csv,9,2,"Model, Value"
2. Technical Performance,fig_2.5.8,fig_2.5.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.8.csv,15,2,"Model, Accuracy"
2. Technical Performance,fig_2.5.9,fig_2.5.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.9.csv,15,2,"Model, Accuracy"
2. Technical Performance,fig_2.6.1,fig_2.6.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.6.1.csv,5,3,"release_date, model, accuracy"
2. Technical Performance,fig_2.6.2,fig_2.6.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.6.2.csv,2,3,"year, method, metric"
2. Technical Performance,fig_2.6.3,fig_2.6.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.6.3.csv,4,3,"year, Model, Success Rate"
