chapter,figure,file_name,relative_path,rows,columns,column_names
2. Technical Performance,fig_2.6.4,fig_2.6.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.6.4.csv,3,12,"year, Agent, LLM(s) Used, Low==Lite (%), Low==Lite (¬± %), Medium (%), Medium (¬± %), High (%), High (¬± %), All (%), All (¬± %), Running Time (hours)"
2. Technical Performance,fig_2.6.5,fig_2.6.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.6.5.csv,3,3,"Release Year, Model, Unguided % Solved"
2. Technical Performance,fig_2.6.6,fig_2.6.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.6.6.csv,7,2,"Model, Value"
2. Technical Performance,fig_2.7.1,fig_2.7.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.7.1.csv,4,3,"year, model, metric"
2. Technical Performance,fig_2.7.11,fig_2.7.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.7.11.csv,22,3,"Count, Crash Type Group, Label"
2. Technical Performance,fig_2.7.12,fig_2.7.12.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.7.12.csv,12,3,"Count, Crash Type Group, Label"
2. Technical Performance,fig_2.7.2,fig_2.7.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.7.2.csv,10,3,"Score, Team, Label"
2. Technical Performance,fig_2.7.3,fig_2.7.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.7.3.csv,5,3,"Model, Year, Overall SSR↑"
2. Technical Performance,fig_2.7.5,fig_2.7.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.7.5.csv,32,2,"Month-Year, Number of weekly paid trips (in thousands)"
2. Technical Performance,fig_2.7.7,fig_2.7.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.7.7.csv,4,2,"Year, Number of trips"
2. Technical Performance,fig_2.7.8,fig_2.7.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.7.8.csv,13,3,"Dataset / Benchmark, Version (Year), Hours"
3. Responsible AI,fig_3.2.1,fig_3.2.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.2.1.csv,14,2,"Year, Number of AI incidents"
3. Responsible AI,fig_3.2.2,fig_3.2.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.2.2.csv,144,3,"Date, Number of AI incidents, Label"
3. Responsible AI,fig_3.2.5,fig_3.2.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.2.5.csv,15,2,"Model, Hallucination Rate"
3. Responsible AI,fig_3.2.6,fig_3.2.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.2.6.csv,26,2,"Model, Hallucination Rate"
3. Responsible AI,fig_3.3.1,fig_3.3.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.1.csv,8,2,"Average Maturity, Region"
3. Responsible AI,fig_3.3.10,fig_3.3.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.10.csv,11,2,"% of Respondents, Main obstacle"
3. Responsible AI,fig_3.3.11,fig_3.3.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.11.csv,14,3,"% of Organizations, Regulation, Year"
3. Responsible AI,fig_3.3.3,fig_3.3.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.3.csv,10,3,"% of Respondents, Number of AI Incidents, year"
3. Responsible AI,fig_3.3.4,fig_3.3.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.4.csv,12,3,"% of Respondents, Organizational Response to Incidents, Year"
3. Responsible AI,fig_3.3.5,fig_3.3.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.5.csv,30,5,"risk, perc_respondents_2024, perc_respondents_2025, pp_change, type"
3. Responsible AI,fig_3.3.6,fig_3.3.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.6.csv,20,3,"% of Respondents, Business function, Year"
3. Responsible AI,fig_3.3.7,fig_3.3.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.7.csv,12,3,"% of Respondents, Revenue in USD, Label"
3. Responsible AI,fig_3.3.8,fig_3.3.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.8.csv,19,3,"% of Respondents, Result, Year"
3. Responsible AI,fig_3.3.9,fig_3.3.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.9.csv,14,3,"% of Respondents, Obstacle, Year"
3. Responsible AI,fig_3.4.1,fig_3.4.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.4.1.csv,7,2,"Year, Number of RAI papers"
3. Responsible AI,fig_3.4.2,fig_3.4.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.4.2.csv,29,3,"category, year, count"
3. Responsible AI,fig_3.4.3,fig_3.4.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.4.3.csv,42,3,"Year, RAI papers (% of total), Label"
3. Responsible AI,fig_3.4.4,fig_3.4.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.4.4.csv,10,2,"Number of RAI submissions, Geographic area"
3. Responsible AI,fig_3.4.5,fig_3.4.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.4.5.csv,88,2,"country_code, number_of_rai_submissions"
3. Responsible AI,fig_3.5.1,fig_3.5.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.5.1.csv,81,3,"Country/Region, Country Code, Status_Category"
3. Responsible AI,fig_3.5.2,fig_3.5.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.5.2.csv,59,9,"country, oecd_ai_principles_2019, g20_ai_principles_2019, coe_drafters_2022, gpai_ministerial_declaration_2022, bletchley_declaration_2023, g7_hiroshima_ai_process_2023, seoul_ministerial_statement_2024, ai_action_summit_inclusive_2025"
3. Responsible AI,fig_3.6.1,fig_3.6.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.6.1.csv,138,2,"Country, Data Protection & Privacy"
3. Responsible AI,fig_3.6.2,fig_3.6.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.6.2.csv,176,3,"Country/Region, Country Code, Status_Category"
3. Responsible AI,fig_3.7.1,fig_3.7.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.7.1.csv,138,2,"Country, Bias & Unfair Discrimination"
3. Responsible AI,fig_3.7.2,fig_3.7.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.7.2.csv,138,2,"Country, Gender Equality"
3. Responsible AI,fig_3.7.3,fig_3.7.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.7.3.csv,138,2,"Country, Cultural & Linguistic Diversity"
3. Responsible AI,fig_3.7.4,fig_3.7.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.7.4.csv,21,3,"Region, Share of countries, Category"
3. Responsible AI,fig_3.7.5,fig_3.7.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.7.5.csv,29,3,"Model, Year, Mean score"
3. Responsible AI,fig_3.7.6,fig_3.7.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.7.6.csv,27,2,"Model, Score"
3. Responsible AI,fig_3.7.7,fig_3.7.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.7.7.csv,24,3,"language, model, accuracy"
3. Responsible AI,fig_3.8.1,fig_3.8.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.8.1.csv,34,3,"Model, Component, Score"
3. Responsible AI,fig_3.8.3,fig_3.8.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.8.3.csv,40,2,"Country Code, Status_Category"
3. Responsible AI,fig_3.9.2,fig_3.9.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.9.2.csv,33,3,"Model, Year, Mean score"
4. Economy,fig_4.2.1,fig_4.2.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.1.csv,52,3,"Year, Event Type, Funding in USD (billions)"
4. Economy,fig_4.2.10,fig_4.2.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.10.csv,19,3,"Year, Total investment (in billions of US dollars), Label"
4. Economy,fig_4.2.11,fig_4.2.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.11.csv,39,3,"Year, Total investment (in billions of US dollars), Label"
4. Economy,fig_4.2.12,fig_4.2.12.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.12.csv,15,2,"Total Investment (in Billions of U.S. Dollars), Country"
4. Economy,fig_4.2.13,fig_4.2.13.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.13.csv,15,2,"Number of Companies, Country"
4. Economy,fig_4.2.14,fig_4.2.14.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.14.csv,39,3,"Year, Number of companies, Label"
4. Economy,fig_4.2.15,fig_4.2.15.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.15.csv,51,2,"state_code, total_funding"
4. Economy,fig_4.2.16,fig_4.2.16.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.16.csv,50,3,"Total investment (in billions of U.S. dollars), Focus area, Label"
4. Economy,fig_4.2.17,fig_4.2.17.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.17.csv,154,3,"Category, year, funding_in_billions_USD"
4. Economy,fig_4.2.18,fig_4.2.18.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.18.csv,35,3,"Date, Annualized revenue (in billions of US dollars - log scale), Label"
4. Economy,fig_4.2.2,fig_4.2.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.2.csv,13,2,"Year, Total investment (in billions of US dollars)"
4. Economy,fig_4.2.20,fig_4.2.20.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.20.csv,10,4,"Year, Company, Type, Cost_Billions"
4. Economy,fig_4.2.3,fig_4.2.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.3.csv,7,2,"Year, Total investment (in billions of US dollars)"
4. Economy,fig_4.2.4,fig_4.2.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.4.csv,13,2,"Year, Number of companies"
4. Economy,fig_4.2.5,fig_4.2.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.5.csv,7,2,"Year, Number of companies"
4. Economy,fig_4.2.6,fig_4.2.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.6.csv,13,2,"Year, Average investment (in millions of US dollars)"
4. Economy,fig_4.2.8,fig_4.2.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.8.csv,15,2,"Total Investment (in Billions of U.S. Dollars), Country"
4. Economy,fig_4.2.9,fig_4.2.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.2.9.csv,39,3,"Year, Number of companies, Label"
4. Economy,fig_4.3.1(1),fig_4.3.1(1).csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.3.1(1).csv,12,3,"Year, % of respondents, Label"
4. Economy,fig_4.3.1,fig_4.3.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.3.1.csv,147,2,"Economy, H2 2025 AI Diffusion"
4. Economy,fig_4.3.10,fig_4.3.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.3.10.csv,144,2,"Country, H2 2025 AI Diffusion (%)"
4. Economy,fig_4.3.12,fig_4.3.12.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.3.12.csv,30,3,"Economy, H1 2025 AI Diffusion, H2 2025 AI Diffusion"
4. Economy,fig_4.3.13,fig_4.3.13.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.3.13.csv,4,9,"date, Architecture and Engineering, Arts, Design, Entertainment, Sports, and Media, Business and Financial Operations, Computer and Mathematical, Educational Instruction and Library, Life, Physical, and Social Sciences, Management, Office and Administrative Support"
4. Economy,fig_4.3.14,fig_4.3.14.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.3.14.csv,4,3,"Date, Automation (%), Augmentation (%)"
4. Economy,fig_4.3.2,fig_4.3.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.3.2.csv,18,3,"% of Respondents, Geographic Area, Label"
4. Economy,fig_4.3.3,fig_4.3.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.3.3.csv,88,4,"industry, function, year, respondent_perc"
4. Economy,fig_4.3.5,fig_4.3.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.3.5.csv,72,4,"Function, Year, Variable, Value"
4. Economy,fig_4.3.6,fig_4.3.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.3.6.csv,15,3,"% of Respondents, Revenue in US dollars, Label"
4. Economy,fig_4.3.7,fig_4.3.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.3.7.csv,132,3,"industry, function, respondent_perc"
4. Economy,fig_4.3.8,fig_4.3.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.3.8.csv,33,3,"Percent of respondents, Function, Label"
4. Economy,fig_4.3.9,fig_4.3.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.3.9.csv,26,5,"Years since the introduction of first mass-market product, ai_all_rps, pc_all_cps, internet_all_cps, internet_all_itu"
4. Economy,fig_4.4.1,fig_4.4.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.1.csv,132,3,"Year, AI job postings (% of all job postings), Label"
4. Economy,fig_4.4.10,fig_4.4.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.10.csv,51,2,"state_2digit, ai_state_count"
4. Economy,fig_4.4.11,fig_4.4.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.11.csv,51,2,"state_2digit, perc_ai_job_post_on_total_ai_job_us"
4. Economy,fig_4.4.12,fig_4.4.12.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.12.csv,64,3,"Year, Percentage of United States AI job postings, Label"
4. Economy,fig_4.4.13,fig_4.4.13.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.13.csv,51,2,"state_2digit, ai_state_share"
4. Economy,fig_4.4.14,fig_4.4.14.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.14.csv,64,3,"Year, Percentage of US states’ job postings in AI, Label"
4. Economy,fig_4.4.15,fig_4.4.15.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.15.csv,15,2,"Relative AI hiring rate year-over-year ratio, Country"
4. Economy,fig_4.4.16,fig_4.4.16.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.16.csv,4415,3,"date, country, relative_ai_hiring_index"
4. Economy,fig_4.4.2,fig_4.4.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.2.csv,132,3,"Year, AI job postings (% of all job postings), Label"
4. Economy,fig_4.4.21,fig_4.4.21.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.21.csv,15,2,"AI talent concentration, Country"
4. Economy,fig_4.4.22,fig_4.4.22.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.22.csv,15,2,"% change of AI talent concentration, Country"
4. Economy,fig_4.4.23,fig_4.4.23.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.23.csv,15,2,"Net AI talent migration (per 10,000 LinkedIn members), Country"
4. Economy,fig_4.4.24,fig_4.4.24.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.24.csv,250,3,"year, country, netflow_per_10K"
4. Economy,fig_4.4.25,fig_4.4.25.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.25.csv,820,4,"Country, Gender, ai_talent_representation_perc, Year"
4. Economy,fig_4.4.26,fig_4.4.26.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.26.csv,820,4,"Country, Gender, ai_talent_concentration_perc, Year"
4. Economy,fig_4.4.29,fig_4.4.29.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.29.csv,720,4,"Age Band Imputed, Date, Headcount, Jbb Role"
4. Economy,fig_4.4.3,fig_4.4.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.3.csv,160,3,"Year, AI job postings (% of all job postings), Label"
4. Economy,fig_4.4.30,fig_4.4.30.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.30.csv,60,2,"date, q5_estimate"
4. Economy,fig_4.4.33,fig_4.4.33.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.33.csv,24,3,"organization_type, change, perc_respondents"
4. Economy,fig_4.4.34,fig_4.4.34.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.34.csv,11,5,"Business Function, Actual Decrease (Past Year), Expected Decrease (Next Year), Actual Increase (Past Year), Expected Increase (Next Year)"
4. Economy,fig_4.4.4,fig_4.4.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.4.csv,20,3,"Number of AI Job Postings, Skill, Label"
4. Economy,fig_4.4.5,fig_4.4.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.5.csv,20,3,"Number of AI Job Postings, Generative AI skill, Label"
4. Economy,fig_4.4.6,fig_4.4.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.6.csv,20,3,"Share of AI Job Postings, Generative AI skill, Label"
4. Economy,fig_4.4.7,fig_4.4.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.7.csv,20,3,"Number of AI Job Postings, Generative AI skill, Label"
4. Economy,fig_4.4.8,fig_4.4.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.8.csv,20,3,"Skill share AI Job Postings, Generative AI skill, Label"
4. Economy,fig_4.4.9,fig_4.4.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.4.9.csv,30,3,"AI Job Postings (% of All Job Postings), Sector, Year"
4. Economy,fig_4.5.1,fig_4.5.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.5.1.csv,13,2,"Year, Number of industrial robots installed (in thousands)"
4. Economy,fig_4.5.2,fig_4.5.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.5.2.csv,13,2,"Year, Number of industrial robots (in thousands)"
4. Economy,fig_4.5.3,fig_4.5.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.5.3.csv,24,3,"Year, Number of industrial robots installed (in thousands), Label"
4. Economy,fig_4.5.4,fig_4.5.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.5.4.csv,10,2,"Number of Industrial Robots Installed (in Thousands), Country"
4. Economy,fig_4.5.5,fig_4.5.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.5.5.csv,70,3,"Year, Number of industrial robots installed (in thousands), Country"
4. Economy,fig_4.5.6,fig_4.5.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.5.6.csv,10,2,"Annual Growth Rate of Industrial Robots Installed, Country"
4. Economy,fig_4.5.7,fig_4.5.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/4. Economy/Data/fig_4.5.7.csv,20,3,"year, application, amount"
5. Science,fig_5.1.1,fig_5.1.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/5. Science/Data/fig_5.1.1.csv,64,3,"Year, Number of AI publications in natural sciences (in thousands), Label"
5. Science,fig_5.1.2,fig_5.1.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/5. Science/Data/fig_5.1.2.csv,64,3,"Year, AI publications in natural sciences (% of total), Label"
5. Science,fig_5.3.1,fig_5.3.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/5. Science/Data/fig_5.3.1.csv,18,5,"Agent, Submitter, Models Used, Overall Score, Overall Cost"
5. Science,fig_5.3.2,fig_5.3.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/5. Science/Data/fig_5.3.2.csv,18,3,"Model, Agent Type, Avg. Score"
6. Medicine,fig_6.1.1,fig_6.1.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.1.1.csv,8,2,"Category, Number of publications"
6. Medicine,fig_6.1.10,fig_6.1.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.1.10.csv,12,2,"Method, Succes rate"
6. Medicine,fig_6.1.11,fig_6.1.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.1.11.csv,8,2,"Year, Number of publications"
6. Medicine,fig_6.1.12,fig_6.1.12.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.1.12.csv,4,4,"Model Name, Model Size, Model Performance, Year"
6. Medicine,fig_6.1.13,fig_6.1.13.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.1.13.csv,5,2,"Year, Number of publications"
6. Medicine,fig_6.1.2,fig_6.1.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.1.2.csv,8,2,"Year, Number of publications"
6. Medicine,fig_6.1.5,fig_6.1.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.1.5.csv,14,3,"Model, Parameters (Billions), Release Year"
