chapter,figure,file_name,relative_path,rows,columns,column_names
6. Medicine,fig_6.1.6,fig_6.1.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.1.6.csv,14,4,"Model Name, Parameters, Average Spearman, Release Year"
6. Medicine,fig_6.1.8,fig_6.1.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.1.8.csv,16,4,"Model Name, Date of Release, Model Number of Parameters, Release Year"
6. Medicine,fig_6.1.9,fig_6.1.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.1.9.csv,8,5,"Model Name, Date of Release, Model Performance, Release Year, Parameters"
6. Medicine,fig_6.2.11,fig_6.2.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.2.11.csv,11,2,"Year, Number of publications"
6. Medicine,fig_6.2.12,fig_6.2.12.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.2.12.csv,11,2,"Year, Number of patent filings"
6. Medicine,fig_6.2.3,fig_6.2.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.2.3.csv,15,2,"Year, Number of papers reporting prospective clinical trials"
6. Medicine,fig_6.2.4,fig_6.2.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.2.4.csv,415,2,"Group.final2, total_pct"
6. Medicine,fig_6.2.5,fig_6.2.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.2.5.csv,105,3,"year, type, num_cleared_devices"
6. Medicine,fig_6.2.6,fig_6.2.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.2.6.csv,62,2,"Year, Number of AI medical devices"
6. Medicine,fig_6.2.7,fig_6.2.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.2.7.csv,17,2,"Number of Devices, Clinical Specialty"
6. Medicine,fig_6.2.8,fig_6.2.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.2.8.csv,10,8,"Year, Radiology, Cardiovascular, Neurology, Anesthesiology, Hematology, Gastroenterology-Urology, Other"
6. Medicine,fig_6.2.9,fig_6.2.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.2.9.csv,15,2,"Number of Authorized Devices, Company"
6. Medicine,fig_6.3.1,fig_6.3.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.3.1.csv,5,2,"% with AI Overview, Query Type"
6. Medicine,fig_6.3.2,fig_6.3.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.3.2.csv,6,2,"Year, Number of publications"
6. Medicine,fig_6.3.4,fig_6.3.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.3.4.csv,30,2,"Volume of Publications, Specialty"
6. Medicine,fig_6.3.5,fig_6.3.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.3.5.csv,41,2,"Country, Volume of Publications"
6. Medicine,"fig_6.4,2","fig_6.4,2.csv","data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.4,2.csv",15,3,"year, type, num_pubs"
6. Medicine,fig_6.4.1,fig_6.4.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.4.1.csv,10,3,"year, type, num_pubs"
6. Medicine,fig_6.4.3,fig_6.4.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.4.3.csv,5,2,"Year, Number of publications"
6. Medicine,fig_6.4.5(1),fig_6.4.5(1).csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.4.5(1).csv,10,3,"year, type, num_pubs"
6. Medicine,fig_6.4.5,fig_6.4.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.4.5.csv,50,3,"year, type, num_pubs"
6. Medicine,fig_6.4.6,fig_6.4.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/6. Medicine/Data/fig_6.4.6.csv,15,3,"year, type, num_pubs"
7. Education,fig_7.2.10,fig_7.2.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.10.csv,15,3,"Country, 2023, 2022"
7. Education,fig_7.2.11,fig_7.2.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.11.csv,15,3,"Country, 2023, 2022"
7. Education,fig_7.2.12,fig_7.2.12.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.12.csv,15,3,"Country, 2023, 2022"
7. Education,fig_7.2.13,fig_7.2.13.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.13.csv,176,4,"Country, Percent Female, Group, Education level abbreviated"
7. Education,fig_7.2.14,fig_7.2.14.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.14.csv,15,3,"Year, Number of CS, CE, and information faculty, Label"
7. Education,fig_7.2.15,fig_7.2.15.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.15.csv,16,3,"Ratio, Race/Ethnicity, Label"
7. Education,fig_7.2.16,fig_7.2.16.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.16.csv,30,3,"University students (% of total) who have used GenAI , Country, Year"
7. Education,fig_7.2.17,fig_7.2.17.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.17.csv,9,2,"% of Respondents, Use"
7. Education,fig_7.2.1_hardware,fig_7.2.1_hardware.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.1_hardware.csv,11,5,"Year, Associate’s, Bachelor’s, Master’s, PhD"
7. Education,fig_7.2.1_software,fig_7.2.1_software.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.1_software.csv,11,5,"Year, Associate’s, Bachelor’s, Master’s, PhD"
7. Education,fig_7.2.2_hardware,fig_7.2.2_hardware.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.2_hardware.csv,4,3,"AWLEVEL, Female, Male"
7. Education,fig_7.2.2_software,fig_7.2.2_software.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.2_software.csv,4,3,"AWLEVEL, Female, Male"
7. Education,fig_7.2.3,fig_7.2.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.3.csv,21,3,"Ratio, Race/Ethnicity, Label"
7. Education,fig_7.2.4,fig_7.2.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.4.csv,21,3,"Ratio, Race/Ethnicity, Label"
7. Education,fig_7.2.5_hardware,fig_7.2.5_hardware.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.5_hardware.csv,4,3,"AWLEVEL, Nonresident, Resident"
7. Education,fig_7.2.5_software,fig_7.2.5_software.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.5_software.csv,4,3,"AWLEVEL, Nonresident, Resident"
7. Education,fig_7.2.7,fig_7.2.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.7.csv,60,3,"Year, Number of new AI PhD graduates, Label"
7. Education,fig_7.2.8,fig_7.2.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.8.csv,45,3,"Year, New AI PhD graduates (% of total), Label"
7. Education,fig_7.2.9,fig_7.2.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.2.9.csv,15,3,"Country, 2023, 2022"
7. Education,fig_7.3.1,fig_7.3.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.1.csv,8,2,"Year, % of schools"
7. Education,fig_7.3.10,fig_7.3.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.10.csv,42,3,"State, Percent of HS offering CS, Percent of students enrolled"
7. Education,fig_7.3.11,fig_7.3.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.11.csv,14,3,"Ratio, Race/Ethnicity, Year"
7. Education,fig_7.3.12,fig_7.3.12.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.12.csv,10,3,"Ratio, Group, Year"
7. Education,fig_7.3.13,fig_7.3.13.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.13.csv,18,2,"Year, Number of AP computer science exams taken (in thousands)"
7. Education,fig_7.3.14,fig_7.3.14.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.14.csv,144,3,"Year, Number of AP computer science exams taken, Label"
7. Education,fig_7.3.15,fig_7.3.15.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.15.csv,144,3,"Year, AP computer science exams taken (% of total responding students), Label"
7. Education,fig_7.3.16,fig_7.3.16.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.16.csv,28,3,"Ratio, Race/Ethnicity, Year"
7. Education,fig_7.3.17,fig_7.3.17.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.17.csv,7,2,"% of Respondents, Use"
7. Education,fig_7.3.18,fig_7.3.18.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.18.csv,51,2,"State, Status"
7. Education,fig_7.3.19,fig_7.3.19.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.19.csv,217,3,"Country, Country Code, Status"
7. Education,fig_7.3.2,fig_7.3.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.2.csv,51,3,"code, School Year, percent_public_hs_teach_cs"
7. Education,fig_7.3.3,fig_7.3.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.3.csv,51,2,"code, percent_students"
7. Education,fig_7.3.4,fig_7.3.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.4.csv,3,2,"Year, % of schools"
7. Education,fig_7.3.5,fig_7.3.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.5.csv,3,2,"Category, Percent"
7. Education,fig_7.3.6,fig_7.3.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.6.csv,2,2,"Category, Percent"
7. Education,fig_7.3.7,fig_7.3.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.7.csv,7,2,"Race/ethnicity, Percent"
7. Education,fig_7.3.8,fig_7.3.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.8.csv,50,3,"code, percent_students, name"
7. Education,fig_7.3.9,fig_7.3.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.3.9.csv,51,2,"code, percent_students"
7. Education,fig_7.4.1,fig_7.4.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.4.1.csv,15,2,"Relative AI skill penetration rate, Country"
7. Education,fig_7.4.2,fig_7.4.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.4.2.csv,30,3,"Relative AI Skill Penetration Rate, Country, Label"
7. Education,fig_7.4.3,fig_7.4.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/7. Education/Data/fig_7.4.3.csv,458,4,"Country, Skills Diffusion Index (AI Engineering skills), Skills Diffusion Index (AI Literacy skills), Year"
8. Policy and Governance,fig_8.2.1,fig_8.2.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.2.1.csv,193,8,"Country, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
8. Policy and Governance,fig_8.3.1,fig_8.3.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.3.1.csv,112,3,"Year, Cumulative number of AI supercomputers, Label"
8. Policy and Governance,fig_8.3.2,fig_8.3.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.3.2.csv,27,4,"country, has_nvidia, has_openai, initiative_type"
8. Policy and Governance,fig_8.3.3,fig_8.3.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.3.3.csv,175,3,"Year, Cumulative number of data localization measures, Label"
8. Policy and Governance,fig_8.3.4,fig_8.3.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.3.4.csv,128,3,"Year, Cumulative number of AI models released, Label"
8. Policy and Governance,fig_8.3.5,fig_8.3.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.3.5.csv,75,12,"country, Agriculture and environment, Business and enterprise services, Consumer and lifestyle, Education, Financial services, General-purpose AI capabilities, Healthcare and life sciences, Industry, energy and infrastructure, Legal services, Public sector and governance, Security and defense"
8. Policy and Governance,fig_8.3.6,fig_8.3.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.3.6.csv,504,4,"Region, quarter, flow_type, flow_n"
8. Policy and Governance,fig_8.4.1,fig_8.4.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.4.1.csv,10,2,"Year, Number of AI-related bills passed"
8. Policy and Governance,fig_8.4.10,fig_8.4.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.4.10.csv,9,2,"Year, Number of AI-related regulations"
8. Policy and Governance,fig_8.4.11,fig_8.4.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.4.11.csv,134,3,"Year, Agency Name, Number of AI-related regulations"
8. Policy and Governance,fig_8.4.2,fig_8.4.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.4.2.csv,20,2,"Country, Number of AI-related bills passed into law"
8. Policy and Governance,fig_8.4.3,fig_8.4.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.4.3.csv,14,2,"Number of AI-related bills passed into law, 2016–25 (sum), Country"
8. Policy and Governance,fig_8.4.4,fig_8.4.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.4.4.csv,10,2,"Year, Number of AI-related bills passed"
8. Policy and Governance,fig_8.4.5,fig_8.4.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.4.5.csv,15,2,"Number of AI-related bills 2016–24 (sum), U.S. State"
8. Policy and Governance,fig_8.4.6,fig_8.4.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.4.6.csv,50,2,"State, Number of AI-related bills passed 2016–25"
8. Policy and Governance,fig_8.4.7,fig_8.4.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.4.7.csv,9,2,"Year, Number of witnesses"
8. Policy and Governance,fig_8.4.8,fig_8.4.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.4.8.csv,15,3,"Congress, Witnesses (% of total), Label"
8. Policy and Governance,fig_8.4.9,fig_8.4.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.4.9.csv,20,3,"Number of Witnesses, Subject Area, Label"
8. Policy and Governance,fig_8.5.1,fig_8.5.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.5.1.csv,36,3,"year, type, cumulative_value"
8. Policy and Governance,fig_8.5.10,fig_8.5.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.5.10.csv,28,2,"Country, Median Contract Value (M$)"
8. Policy and Governance,fig_8.5.11,fig_8.5.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.5.11.csv,63,3,"Year, Public spending on AI-related contracts (% of total), Label"
8. Policy and Governance,fig_8.5.2,fig_8.5.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.5.2.csv,36,3,"Year, Public spending on AI (in billions of US dollars), Label"
8. Policy and Governance,fig_8.5.4,fig_8.5.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.5.4.csv,51,2,"State, Value"
8. Policy and Governance,fig_8.5.5,fig_8.5.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.5.5.csv,51,2,"State, Value"
8. Policy and Governance,fig_8.5.6,fig_8.5.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.5.6.csv,81,3,"Year, Public spending on AI-related contracts and OTAs (% of total), Label"
8. Policy and Governance,fig_8.5.7,fig_8.5.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.5.7.csv,84,3,"Year, Public spending on AI-related grants (% of total), Label"
8. Policy and Governance,fig_8.5.8,fig_8.5.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.5.8.csv,74,3,"country_name, year, cumulative_value"
8. Policy and Governance,fig_8.5.9,fig_8.5.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/8. Policy and Governance/Data/fig_8.5.9.csv,32,2,"Country, N. Contracts"
9. Public Opinion,fig_9.1.1,fig_9.1.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.1.1.csv,39,3,"Question, Year, Value"
9. Public Opinion,fig_9.1.10,fig_9.1.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.1.10.csv,48,3,"country, using_ai_at_work, trust_ai_at_work"
9. Public Opinion,fig_9.1.11,fig_9.1.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.1.11.csv,141,3,"Country, Category, % of respondents"
9. Public Opinion,fig_9.1.2,fig_9.1.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.1.2.csv,148,3,"Country, Year, % of respondents that ""Agree"""
9. Public Opinion,fig_9.1.3,fig_9.1.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.1.3.csv,256,3,"Category, Country, Response"
9. Public Opinion,fig_9.1.4,fig_9.1.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.1.4.csv,256,3,"Category, Country, Response"
9. Public Opinion,fig_9.1.5,fig_9.1.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.1.5.csv,64,3,"Category, Country, Response"
9. Public Opinion,fig_9.1.6,fig_9.1.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.1.6.csv,224,3,"Response, Country, Response.1"
9. Public Opinion,fig_9.1.7,fig_9.1.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.1.7.csv,16,3,"Category, Year, Response"
9. Public Opinion,fig_9.1.8,fig_9.1.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.1.8.csv,44,3,"Percent of respondents, Country, Label"
9. Public Opinion,fig_9.1.9,fig_9.1.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.1.9.csv,224,3,"Category, Country, Response"
9. Public Opinion,fig_9.2.1,fig_9.2.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.2.1.csv,20,3,"Percentage, Category, Label"
9. Public Opinion,fig_9.2.10,fig_9.2.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.2.10.csv,66,3,"Percent of respondents, Country, Label"
9. Public Opinion,fig_9.2.2,fig_9.2.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.2.2.csv,24,3,"Percentage, Category, Label"
9. Public Opinion,fig_9.2.3,fig_9.2.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.2.3.csv,28,3,"AI companionship adoption, Unnamed: 1, Label"
9. Public Opinion,fig_9.2.4,fig_9.2.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.2.4.csv,8,3,"Group, Response, Percentage"
9. Public Opinion,fig_9.2.5,fig_9.2.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.2.5.csv,27,11,"Unnamed: 0, participant_group, question_set_name, question_resolution_date, question_resolution_year, question_percentile, unit_name, w_median, median, w_mean, mean"
9. Public Opinion,fig_9.2.6,fig_9.2.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.2.6.csv,20,3,"Percentage, Category, Label"
9. Public Opinion,fig_9.2.7,fig_9.2.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.2.7.csv,16,3,"Year, % of respondents, Label"
9. Public Opinion,fig_9.2.8,fig_9.2.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.2.8.csv,51,3,"Percent of respondents, Category, Label"
9. Public Opinion,fig_9.2.9,fig_9.2.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.2.9.csv,27,11,"Unnamed: 0, participant_group, question_set_name, question_resolution_date, question_resolution_year, question_percentile, unit_name, w_median, median, w_mean, mean"
9. Public Opinion,fig_9.3.1,fig_9.3.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.3.1.csv,31,3,"% of respondents, Country, Year"
9. Public Opinion,fig_9.3.2,fig_9.3.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.3.2.csv,104,3,"country, trust_in, response_perc"
9. Public Opinion,fig_9.3.3,fig_9.3.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.3.3.csv,44,3,"Percent of respondents, Country, Label"
9. Public Opinion,fig_9.3.4,fig_9.3.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.3.4.csv,39,2,"state, net_concern"
9. Public Opinion,fig_9.3.5,fig_9.3.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.3.5.csv,117,3,"Percent of respondents, State, Label"
9. Public Opinion,fig_9.3.6,fig_9.3.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/9. Public Opinion/Data/fig_9.3.6.csv,72,3,"Percent of respondents, Demographic Group, Label"
